2010 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [15508 30/09/2010 14:57:47      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"ACT","102","Fraser","8808","City","20860","GRN","Australian Greens","ESGUERRA","Indra","4","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","412","87.850"
"ACT","102","Fraser","8808","City","20860","GRN","Australian Greens","ESGUERRA","Indra","4","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","57","12.150"
"ACT","102","Fraser","8809","Dickson","0","","","First Preferences","","0","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","435","37.120"
"ACT","102","Fraser","8809","Dickson","0","","","First Preferences","","0","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","737","62.880"
"ACT","102","Fraser","8809","Dickson","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","18","56.250"
"ACT","102","Fraser","8809","Dickson","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","14","43.750"
"ACT","102","Fraser","8809","Dickson","20860","GRN","Australian Greens","ESGUERRA","Indra","4","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","342","92.430"
"ACT","102","Fraser","8809","Dickson","20860","GRN","Australian Greens","ESGUERRA","Indra","4","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","28","7.570"
"ACT","102","Fraser","8810","Downer","0","","","First Preferences","","0","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","588","64.830"
"ACT","102","Fraser","8810","Downer","0","","","First Preferences","","0","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","319","35.170"
"ACT","102","Fraser","8810","Downer","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","15","60.000"
"ACT","102","Fraser","8810","Downer","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","10","40.000"
"ACT","102","Fraser","8810","Downer","20860","GRN","Australian Greens","ESGUERRA","Indra","4","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","279","90.000"
"ACT","102","Fraser","8810","Downer","20860","GRN","Australian Greens","ESGUERRA","Indra","4","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","31","10.000"
"ACT","102","Fraser","8812","Evatt","0","","","First Preferences","","0","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","1683","61.290"
"ACT","102","Fraser","8812","Evatt","0","","","First Preferences","","0","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","1063","38.710"
"ACT","102","Fraser","8812","Evatt","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","29","44.620"
"ACT","102","Fraser","8812","Evatt","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","36","55.380"
"ACT","102","Fraser","8812","Evatt","20860","GRN","Australian Greens","ESGUERRA","Indra","4","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","406","83.540"
"ACT","102","Fraser","8812","Evatt","20860","GRN","Australian Greens","ESGUERRA","Indra","4","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","80","16.460"
"ACT","102","Fraser","8813","Evatt South","0","","","First Preferences","","0","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","763","60.650"
"ACT","102","Fraser","8813","Evatt South","0","","","First Preferences","","0","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","495","39.350"
"ACT","102","Fraser","8813","Evatt South","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","26","61.900"
"ACT","102","Fraser","8813","Evatt South","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","16","38.100"
"ACT","102","Fraser","8813","Evatt South","20860","GRN","Australian Greens","ESGUERRA","Indra","4","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","250","91.240"
"ACT","102","Fraser","8813","Evatt South","20860","GRN","Australian Greens","ESGUERRA","Indra","4","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","24","8.760"
"ACT","102","Fraser","8814","Florey","0","","","First Preferences","","0","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","988","60.100"
"ACT","102","Fraser","8814","Florey","0","","","First Preferences","","0","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","656","39.900"
"ACT","102","Fraser","8814","Florey","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","22","62.860"
"ACT","102","Fraser","8814","Florey","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","13","37.140"
"ACT","102","Fraser","8814","Florey","20860","GRN","Australian Greens","ESGUERRA","Indra","4","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","264","79.760"
"ACT","102","Fraser","8814","Florey","20860","GRN","Australian Greens","ESGUERRA","Indra","4","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","67","20.240"
"ACT","102","Fraser","8816","Giralang","0","","","First Preferences","","0","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","897","58.590"
"ACT","102","Fraser","8816","Giralang","0","","","First Preferences","","0","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","634","41.410"
"ACT","102","Fraser","8816","Giralang","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","23","57.500"
"ACT","102","Fraser","8816","Giralang","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","17","42.500"
"ACT","102","Fraser","8816","Giralang","20860","GRN","Australian Greens","ESGUERRA","Indra","4","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","289","89.200"
"ACT","102","Fraser","8816","Giralang","20860","GRN","Australian Greens","ESGUERRA","Indra","4","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","35","10.800"
"ACT","102","Fraser","8819","Hall","0","","","First Preferences","","0","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","99","44.800"
"ACT","102","Fraser","8819","Hall","0","","","First Preferences","","0","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","122","55.200"
"ACT","102","Fraser","8819","Hall","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","3","75.000"
"ACT","102","Fraser","8819","Hall","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","1","25.000"
"ACT","102","Fraser","8819","Hall","20860","GRN","Australian Greens","ESGUERRA","Indra","4","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","35","87.500"
"ACT","102","Fraser","8819","Hall","20860","GRN","Australian Greens","ESGUERRA","Indra","4","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","5","12.500"
"ACT","102","Fraser","8821","Holt","0","","","First Preferences","","0","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","826","38.630"
"ACT","102","Fraser","8821","Holt","0","","","First Preferences","","0","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","1312","61.370"
"ACT","102","Fraser","8821","Holt","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","42","68.850"
"ACT","102","Fraser","8821","Holt","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","19","31.150"
"ACT","102","Fraser","8821","Holt","20860","GRN","Australian Greens","ESGUERRA","Indra","4","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","394","84.190"
"ACT","102","Fraser","8821","Holt","20860","GRN","Australian Greens","ESGUERRA","Indra","4","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","74","15.810"
"ACT","102","Fraser","8822","Jervis Bay","0","","","First Preferences","","0","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","19","45.240"
"ACT","102","Fraser","8822","Jervis Bay","0","","","First Preferences","","0","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","23","54.760"
"ACT","102","Fraser","8822","Jervis Bay","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","0","0.000"
"ACT","102","Fraser","8822","Jervis Bay","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","0","0.000"
"ACT","102","Fraser","8822","Jervis Bay","20860","GRN","Australian Greens","ESGUERRA","Indra","4","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","14","100.000"
"ACT","102","Fraser","8822","Jervis Bay","20860","GRN","Australian Greens","ESGUERRA","Indra","4","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","0","0.000"
"ACT","102","Fraser","8823","Kaleen","0","","","First Preferences","","0","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","1331","59.690"
