division,state,ALP2PP,party,Total_population,Population_density1,LogPopDens,Persons_who_lived_at_a_different_address_5_years_ago,Persons_aged_under_5_years,Under5%A,Persons_aged_5_to_14_years,5to14%,Persons_aged_15_to_24_years,15to14%,Persons_aged_25_to_64_years,25to64%,Persons_aged_65_years_and_over,65pllus%,Median_age,Total_dependency_ratio3,Elderly_dependency_ratio5,Persons_of_Christian_religion,Christian%,Persons_of_Catholic_religion,Catholic%,Persons_of_Islamic_religion,Muslim%,Persons_of_no_religion,Atheist%,Persons_of_Indigenous_origin,Indiginous%,Persons_born_overseas,Overseas%,Persons_born_overseas_and_resident_in_Australia_since_2000,AusSince2000%,Persons_born_in_non-English_speaking_countries,NonEngBorn%,Persons_born_in_the_United_Kingdom_or_Ireland,UKIreBorn%,Persons_who_speak_English_not_well_or_not_at_all,BadEng%,Persons_speaking_a_language_other_than_English_at_home,OthEngHome%,Couple_families_with_dependent_children,DepChildren%,Couple_families_with_no_children,NoChild%,One_parent_families_with_dependent_children,OneParent%,Lone_person_households,Lone%,Persons_engaged_in_unpaid_child_care7,UnPaidCC%,Families_with_weekly_income_below_$650,Below650%,Families_with_weekly_income_$2000_and_above,Above2000%,Median_weekly_family_income,Individuals_with_weekly_income_below_$1000,IndBelow1000%,Persons_attending_infant/primary_or_secondary_school,Prim/Sec%,Persons_attending_non-government_infant/primary_or_secondary_school,PrivateSchool%,Persons_attending_a_tertiary_education_institution11,Tertiary%,Persons_whose_highest_level_of_schooling_completed_is_Year_10_or_below,Yr10Below%,Persons_with_university_qualifications,Degrees%,Households_with_an_internet_connection,Internet%,Households_with_a_broadband_internet_connection,,Occupied_private_dwellings,Rented_dwellings,Fully_owned_dwellings,Dwellings_being_purchased,Median_monthly_housing_loan_repayment,Median_weekly_rent,Flat_unit_or_apartment_dwellings,Persons_in_non-private_dwellings14,GovtHouse%,Dwellings_with_two_or_more_motor_vehicles,Employed_persons,Employed%,Unemployed_persons,Unemp%,Unemployed_persons_aged_15_to_19_years,Unemp15to24%,Unemployed_persons_aged_45_years_and_over,Unemp45+%,Labour_force20,Labourforce%,Labour_force_aged_45_years_and_over22,LabourForce45+%,Women_in_the_labour_force24,WomenLabour%,Persons_employed_in_agriculture,Ag%,Persons_employed_in_mining,Mine%,Persons_employed_in_manufacturing,Manu%,Persons_employed_in_accommodation_and_food_services,Accomm%,Persons_employed_in_professional_or_managerial_occupations,Prof%,Persons_using_public_transport_to_travel_to_work,
Flynn,(Qld),50.16,ALP,134464,1,0,58740,9945,0.074,22111,0.1644,16609,0.1235,72368,0.5382,13404,0.0997,35,1.96,6.64,91725,0.6822,28773,0.214,132,0.001,24730,0.1839,5545,0.0412,11731,0.0872,1815,0.0135,4048,0.0301,3897,0.029,311,0.0023,3051,0.0227,14021,0.1043,14313,0.1064,3318,0.0247,9796,0.0729,31422,0.2337,7938,0.059,6496,0.0483,1172,13846,0.103,22618,0.1682,4455,0.0331,3977,0.0296,51801,0.3852,7590,0.0564,27108,0.2016,14099,0.1049,46361,13672,15595,15451,1105,132,2382,7202,0.0536,27298,62917,0.4679,2921,0.0217,536,0.004,892,0.0066,65839,0.4896,25287,0.1881,27752,0.2064,7604,0.0566,5036,0.0375,7275,0.0541,3647,0.0271,16347,0.1216,1044,0.0078
Forde,(Qld),52.91,ALP,123070,290,2.4624,57158,9224,0.0749,20067,0.1631,18080,0.1469,64968,0.5279,10734,0.0872,33,2.08,7.74,79346,0.6447,25819,0.2098,838,0.0068,25483,0.2071,2569,0.0209,27789,0.2258,4411,0.0358,9608,0.0781,8929,0.0726,963,0.0078,9006,0.0732,13169,0.107,10977,0.0892,4350,0.0353,6917,0.0562,30232,0.2456,6893,0.056,4975,0.0404,1156,14549,0.1182,21112,0.1715,6488,0.0527,5085,0.0413,40712,0.3308,7302,0.0593,26995,0.2193,18138,0.1474,40820,12343,9923,17419,1317,220,1703,1130,0.0092,24444,57993,0.4712,3161,0.0257,719,0.0058,660,0.0054,61161,0.497,21086,0.1713,27780,0.2257,457,0.0037,293,0.0024,8531,0.0693,3110,0.0253,12597,0.1024,2138,0.0174
Forrest,(WA),44.17,LP/NP,120098,9.4,0.9731,53139,7858,0.0654,18479,0.1539,14849,0.1236,63817,0.5314,15043,0.1253,37,1.9,5.23,71380,0.5943,25232,0.2101,254,0.0021,31166,0.2595,2371,0.0197,18822,0.1567,2602,0.0217,5272,0.0439,9681,0.0806,352,0.0029,4544,0.0378,11970,0.0997,13015,0.1084,3413,0.0284,9447,0.0787,28304,0.2357,6867,0.0572,5145,0.0428,1157,13061,0.1088,19436,0.1618,6034,0.0502,4309,0.0359,42003,0.3497,8874,0.0739,25204,0.2099,14203,0.1183,42597,11716,13807,15436,1166,172,1477,3466,0.0289,25715,56178,0.4678,2191,0.0182,406,0.0034,606,0.005,58371,0.486,22935,0.191,26041,0.2168,3381,0.0282,2236,0.0186,7110,0.0592,4013,0.0334,14669,0.1221,713,0.0059
Fowler,(NSW),68.25,ALP,142967,2063,3.3145,38240,10538,0.0737,23052,0.1612,21421,0.1498,73723,0.5157,14249,0.0997,33,1.99,6.68,76713,0.5366,42717,0.2988,7961,0.0557,9465,0.0662,1693,0.0118,69893,0.4889,7066,0.0494,66212,0.4631,1743,0.0122,22773,0.1593,92719,0.6485,15534,0.1087,7961,0.0557,5713,0.04,6509,0.0455,27650,0.1934,11673,0.0816,4167,0.0291,934,18714,0.1309,24489,0.1713,6493,0.0454,7977,0.0558,41344,0.2892,7678,0.0537,21772,0.1523,14279,0.0999,42079,13171,11970,14941,1492,170,5356,979,0.0068,19078,50853,0.3557,6035,0.0422,771,0.0054,1817,0.0127,56892,0.3979,18534,0.1296,24110,0.1686,246,0.0017,38,0.0003,10634,0.0744,2856,0.02,9300,0.065,5093,0.0356
Franklin,(Tas.),54.48,ALP,91200,14,1.1461,30926,5662,0.0621,12663,0.1388,11137,0.1221,48186,0.5284,13558,0.1487,40,1.86,4.38,59344,0.6507,18487,0.2027,102,0.0011,19322,0.2119,3411,0.0374,10430,0.1144,899,0.0099,3542,0.0388,5455,0.0598,200,0.0022,2660,0.0292,9077,0.0995,10054,0.1102,2811,0.0308,7921,0.0869,21579,0.2366,5980,0.0656,3544,0.0389,1099,9970,0.1093,14567,0.1597,5268,0.0578,4729,0.0519,33381,0.366,10039,0.1101,19817,0.2173,10635,0.1166,33641,6470,13230,12885,963,155,1447,1586,0.0174,18804,40601,0.4452,2354,0.0258,471,0.0052,677,0.0074,42875,0.4701,18110,0.1986,20481,0.2246,1615,0.0177,77,0.0008,2984,0.0327,2438,0.0267,13182,0.1445,1812,0.0199
Fraser,(ACT),65.07,ALP,158668,314.7,2.4979,67228,10518,0.0663,19000,0.1197,26928,0.1697,87758,0.5531,14451,0.0911,33,2.61,7.94,91863,0.579,42377,0.2671,2331,0.0147,39173,0.2469,1902,0.012,36675,0.2311,7274,0.0458,25202,0.1588,7621,0.048,2691,0.017,26819,0.169,15738,0.0992,15121,0.0953,4149,0.0261,13366,0.0842,35068,0.221,4595,0.029,14796,0.0933,1727,20967,0.1321,22227,0.1401,8229,0.0519,18911,0.1192,29798,0.1878,40869,0.2576,41614,0.2623,28968,0.1826,57113,18332,16093,21361,1506,257,6141,10314,0.065,28769,86243,0.5435,3245,0.0205,715,0.0045,677,0.0043,89497,0.5641,28290,0.1783,43146,0.2719,217,0.0014,22,0.0001,1936,0.0122,5405,0.0341,39026,0.246,5667,0.0357
Fremantle,(WA),59.14,ALP,126060,632.5,2.8011,48817,8119,0.0644,15982,0.1268,16375,0.1299,69507,0.5514,16067,0.1275,37,2.14,5.35,77781,0.617,40219,0.319,828,0.0066,28413,0.2254,1982,0.0157,35340,0.2803,5030,0.0399,17997,0.1428,12600,0.1,2602,0.0206,18518,0.1469,12193,0.0967,12419,0.0985,3893,0.0309,12763,0.1012,28714,0.2278,6522,0.0517,7348,0.0583,1290,14994,0.1189,17133,0.1359,6669,0.0529,7785,0.0618,34959,0.2773,16546,0.1313,29629,0.235,19093,0.1515,47824,12536,15006,18558,1325,183,3258,2612,0.0207,25325,61541,0.4882,2204,0.0175,405,0.0032,471,0.0037,63739,0.5056,22600,0.1793,29554,0.2344,424,0.0034,1650,0.0131,7314,0.058,3530,0.028,19634,0.1558,3751,0.0298
Gellibrand,(Vic.),71.46,ALP,138253,1516.4,3.1808,46496,9129,0.066,15829,0.1145,17725,0.1282,77217,0.5585,18355,0.1328,36,2.19,5.17,79231,0.5731,41746,0.302,5993,0.0433,26328,0.1904,523,0.0038,46186,0.3341,8744,0.0632,37457,0.2709,5623,0.0407,9154,0.0662,48172,0.3484,12749,0.0922,12595,0.0911,4041,0.0292,14198,0.1027,28208,0.204,8591,0.0621,7311,0.0529,1168,18172,0.1314,17180,0.1243,6723,0.0486,9608,0.0695,32506,0.2351,21617,0.1564,29721,0.215,20191,0.146,51986,16066,17246,16500,1374,186,7371,2283,0.0165,22068,62201,0.4499,4671,0.0338,509,0.0037,1248,0.009,66822,0.4833,20461,0.148,30434,0.2201,126,0.0009,124,0.0009,8122,0.0587,3845,0.0278,21017,0.152,8745,0.0633
Gilmore,(NSW),45.93,ALP,125424,25.9,1.4133,46050,7129,0.0568,17700,0.1411,14025,0.1118,62180,0.4958,24415,0.1947,43,1.55,3.12,91629,0.7306,30962,0.2469,313,0.0025,19740,0.1574,3927,0.0313,17031,0.1358,1034,0.0082,6841,0.0545,8146,0.0649,597,0.0048,6040,0.0482,11345,0.0905,15368,0.1225,3920,0.0313,11416,0.091,27893,0.2224,11078,0.0883,4090,0.0326,967,12660,0.1009,20037,0.1598,4823,0.0385,4991,0.0398,55271,0.4407,9918,0.0791,26528,0.2115,13749,0.1096,46901,11046,20498,13619,1277,178,2293,2434,0.0194,22277,47365,0.3776,4169,0.0332,816,0.0065,1172,0.0093,51458,0.4103,21717,0.1731,23749,0.1893,944,0.0075,363,0.0029,4381,0.0349,3897,0.0311,14240,0.1135,452,0.0036
Gippsland,(Vic.),44.09,NP,131446,4,0.6021,46221,7665,0.0583,18398,0.14,16432,0.125,67654,0.5147,21330,0.1623,40,1.77,3.94,81868,0.6228,29807,0.2268,274,0.0021,31047,0.2362,2257,0.0172,14653,0.1115,1251,0.0095,7139,0.0543,5828,0.0443,459,0.0035,5268,0.0401,11885,0.0904,15224,0.1158,4092,0.0311,13450,0.1023,28442,0.2164,10356,0.0788,4032,0.0307,1010,13604,0.1035,21223,0.1615,7038,0.0535,4682,0.0356,45642,0.3472,9140,0.0695,26756,0.2036,13794,0.1049,49768,11275,20463,16075,897,127,3091,4108,0.0313,26776,54682,0.416,3959,0.0301,657,0.005,1159,0.0088,58663,0.4463,25493,0.1939,26711,0.2032,4525,0.0344,941,0.0072,5213,0.0397,3567,0.0271,16170,0.123,400,0.003
Goldstein,(Vic.),43.95,LP,128406,2642.1,3.4219,41986,8054,0.0627,16212,0.1263,15139,0.1179,67886,0.5287,21119,0.1645,40,1.83,3.93,75434,0.5875,31625,0.2463,585,0.0046,26158,0.2037,173,0.0013,32924,0.2564,6369,0.0496,20165,0.157,7754,0.0604,2260,0.0176,21330,0.1661,14578,0.1135,11841,0.0922,2690,0.0209,12784,0.0996,29816,0.2322,4465,0.0348,12879,0.1003,1786,16345,0.1273,19396,0.1511,10629,0.0828,8484,0.0661,19870,0.1547,31681,0.2467,33534,0.2612,25428,0.198,47791,11012,19462,15570,1823,245,8500,2063,0.0161,25001,61567,0.4795,2242,0.0175,414,0.0032,645,0.005,63841,0.4972,27745,0.2161,30176,0.235,127,0.001,189,0.0015,5314,0.0414,3093,0.0241,31208,0.243,7304,0.0569
Gorton,(Vic.),71.22,ALP,157352,903.2,2.9558,51799,12124,0.0771,23769,0.1511,22900,0.1455,86585,0.5503,11976,0.0761,32,2.29,9.14,104544,0.6644,64037,0.407,8358,0.0531,14650,0.0931,480,0.0031,61364,0.39,6936,0.0441,56402,0.3584,2831,0.018,12098,0.0769,77018,0.4895,18813,0.1196,10814,0.0687,4885,0.031,6742,0.0428,34261,0.2177,9606,0.061,6463,0.0411,1133,22043,0.1401,25657,0.1631,10473,0.0666,7913,0.0503,37469,0.2381,13389,0.0851,29265,0.186,19445,0.1236,48537,7638,16020,22868,1340,192,1729,1342,0.0085,29691,68575,0.4358,5405,0.0343,818,0.0052,1322,0.0084,73899,0.4696,22706,0.1443,32809,0.2085,193,0.0012,71,0.0005,12583,0.08,3871,0.0246,14566,0.0926,4900,0.0311
Grayndler,(NSW),74.93,ALP,138780,4283.3,3.6318,53898,8396,0.0605,12017,0.0866,16497,0.1189,85488,0.616,16408,0.1182,36,2.77,6.22,75356,0.543,41182,0.2967,3080,0.0222,31264,0.2253,1550,0.0112,50145,0.3613,8967,0.0646,39204,0.2825,6131,0.0442,9740,0.0702,48199,0.3473,11155,0.0804,13431,0.0968,3378,0.0243,15820,0.114,25599,0.1845,6371,0.0459,10797,0.0778,1466,18333,0.1321,13305,0.0959,5034,0.0363,12630,0.091,28792,0.2075,34212,0.2465,35153,0.2533,24919,0.1796,53674,22243,14522,15107,1967,257,18976,4103,0.0296,14457,71424,0.5147,3704,0.0267,364,0.0026,1005,0.0072,75094,0.5411,22487,0.162,36547,0.2633,101,0.0007,72,0.0005,4560,0.0329,4915,0.0354,32638,0.2352,21499,0.1549
Greenway,(NSW),45.5,ALP,134258,1605,3.2055,49068,10963,0.0817,19467,0.145,18156,0.1352,73616,0.5483,12087,0.09,33,2.16,7.59,92600,0.6897,44806,0.3337,4920,0.0366,13745,0.1024,1580,0.0118,44947,0.3348,8441,0.0629,36215,0.2697,4603,0.0343,4359,0.0325,40441,0.3012,16091,0.1199,10375,0.0773,3531,0.0263,7831,0.0583,31476,0.2344,6324,0.0471,8645,0.0644,1350,19342,0.1441,21458,0.1598,7650,0.057,8063,0.0601,39786,0.2963,16865,0.1256,29423,0.2192,21126,0.1574,44153,11888,11864,19076,1850,228,2832,1893,0.0141,23075,64356,0.4793,3523,0.0262,579,0.0043,801,0.006,67782,0.5049,21948,0.1635,30573,0.2277,336,0.0025,64,0.0005,8205,0.0611,3163,0.0236,18953,0.1412,7690,0.0573
Grey,(SA),45.57,LP,140550,0.2,-0.699,46081,8721,0.062,20327,0.1446,15602,0.111,73193,0.5208,22611,0.1609,40,1.72,3.93,85886,0.6111,23944,0.1704,173,0.0012,34394,0.2447,9048,0.0644,13880,0.0988,1128,0.008,5179,0.0368,7470,0.0531,347,0.0025,6291,0.0448,12276,0.0873,16518,0.1175,4156,0.0296,15727,0.1119,31237,0.2222,12388,0.0881,3672,0.0261,937,13318,0.0948,22268,0.1584,4978,0.0354,3852,0.0274,46844,0.3333,7068,0.0503,25098,0.1786,10727,0.0763,53605,15607,20881,14677,733,107,2055,7253,0.0516,27220,57986,0.4126,3857,0.0274,613,0.0044,1215,0.0086,61814,0.4398,26058,0.1854,27312,0.1943,8725,0.0621,2341,0.0167,5336,0.038,3752,0.0267,18415,0.131,547,0.0039
Griffith,(Qld),62.32,ALP,128973,2353.1,3.3716,61353,7729,0.0599,12365,0.0959,19780,0.1534,74500,0.5776,14605,0.1132,34,2.72,6.46,80934,0.6275,36167,0.2804,1481,0.0115,25761,0.1997,1746,0.0135,28238,0.2189,7450,0.0578,16110,0.1249,6191,0.048,2462,0.0191,16838,0.1306,10198,0.0791,13228,0.1026,3204,0.0248,16361,0.1269,25699,0.1993,4819,0.0374,9646,0.0748,1510,16681,0.1293,13529,0.1049,6232,0.0483,12056,0.0935,26481,0.2053,29898,0.2318,34926,0.2708,25166,0.1951,51999,23007,12845,14619,1569,233,16769,5687,0.0441,20956,70170,0.5441,2847,0.0221,439,0.0034,620,0.0048,72968,0.5658,20668,0.1603,35341,0.274,185,0.0014,443,0.0034,5236,0.0406,4723,0.0366,30413,0.2358,11748,0.0911
Groom,(Qld),41.78,LP/NP,131442,23.6,1.3729,60818,9116,0.0694,19827,0.1508,19799,0.1506,64826,0.4932,17874,0.136,35,1.81,4.74,101217,0.7701,33423,0.2543,356,0.0027,15993,0.1217,3871,0.0295,12026,0.0915,3253,0.0247,5698,0.0433,3558,0.0271,546,0.0042,4679,0.0356,12748,0.097,13480,0.1026,3760,0.0286,11226,0.0854,30608,0.2329,7791,0.0593,4464,0.034,1103,14490,0.1102,22163,0.1686,9544,0.0726,7898,0.0601,47549,0.3617,12645,0.0962,27342,0.208,16105,0.1225,46915,13727,16026,15556,1100,172,4323,6543,0.0498,24836,60252,0.4584,2780,0.0212,556,0.0042,599,0.0046,62985,0.4792,23581,0.1794,29221,0.2223,3290,0.025,417,0.0032,7263,0.0553,3227,0.0246,17458,0.1328,407,0.0031
Hasluck,(WA),51.26,ALP,135767,558.1,2.7467,51881,8986,0.0662,19139,0.141,19990,0.1472,72102,0.5311,15560,0.1146,35,2.11,5.92,79246,0.5837,30379,0.2238,2490,0.0183,33504,0.2468,3564,0.0263,37891,0.2791,4164,0.0307,14625,0.1077,17589,0.1296,1506,0.0111,12507,0.0921,13121,0.0966,13474,0.0992,4214,0.031,10818,0.0797,31098,0.2291,7243,0.0533,5890,0.0434,1174,16736,0.1233,20241,0.1491,6517,0.048,6408,0.0472,43369,0.3194,9857,0.0726,29756,0.2192,18863,0.1389,48625,10036,15013,21869,1139,171,1653,1985,0.0146,28414,65814,0.4848,2463,0.0181,553,0.0041,568,0.0042,68263,0.5028,25829,0.1902,30555,0.2251,508,0.0037,2037,0.015,7956,0.0586,3170,0.0233,14267,0.1051,3908,0.0288
Herbert,(Qld),49.79,ALP,130694,138.2,2.1405,62305,9368,0.0717,18928,0.1448,21839,0.1671,68475,0.5239,12094,0.0925,32,2.24,7.47,86444,0.6614,36412,0.2786,282,0.0022,26011,0.199,9241,0.0707,14999,0.1148,2871,0.022,6184,0.0473,4623,0.0354,422,0.0032,6011,0.046,12212,0.0934,12486,0.0955,4408,0.0337,10254,0.0785,29340,0.2245,6217,0.0476,5753,0.044,1202,15537,0.1189,20021,0.1532,7408,0.0567,8748,0.0669,40196,0.3076,12310,0.0942,28007,0.2143,18315,0.1401,45542,16866,10953,16191,1222,186,6862,8078,0.0618,23425,64172,0.491,3162,0.0242,633,0.0048,715,0.0055,67311,0.515,21258,0.1627,30769,0.2354,388,0.003,1683,0.0129,5174,0.0396,4498,0.0344,16235,0.1242,1129,0.0086
Higgins,(Vic.),42.96,LP,127320,3284,3.5164,49892,6860,0.0539,12301,0.0966,18175,0.1428,72151,0.5667,17848,0.1402,36,2.44,5.06,70775,0.5559,28447,0.2234,1248,0.0098,27130,0.2131,216,0.0017,33897,0.2662,8928,0.0701,23846,0.1873,5515,0.0433,3189,0.025,25091,0.1971,11573,0.0909,12553,0.0986,2119,0.0166,16317,0.1282,24607,0.1933,3659,0.0287,13301,0.1045,1992,17460,0.1371,14632,0.1149,8929,0.0701,12496,0.0981,14511,0.114,40449,0.3177,35769,0.2809,26822,0.2107,50726,18868,17059,13177,1891,242,18749,2794,0.0219,21416,65839,0.5171,2811,0.0221,332,0.0026,660,0.0052,68648,0.5392,24317,0.191,32989,0.2591,179,0.0014,186,0.0015,4276,0.0336,4041,0.0317,36279,0.2849,13024,0.1023
Hindmarsh,(SA),55.05,ALP,132481,1795.6,3.2542,44131,6242,0.0471,12924,0.0976,17142,0.1294,68927,0.5203,27269,0.2058,41,1.85,3.16,88113,0.6651,35316,0.2666,1380,0.0104,25724,0.1942,922,0.007,30055,0.2269,5295,0.04,19948,0.1506,8262,0.0624,3564,0.0269,24843,0.1875,10524,0.0794,15378,0.1161,3271,0.0247,19470,0.147,27285,0.206,8268,0.0624,6402,0.0483,1149,15846,0.1196,15867,0.1198,7765,0.0586,9314,0.0703,34431,0.2599,17749,0.134,30533,0.2305,17066,0.1288,56619,17402,21365,14973,1186,167,11156,3656,0.0276,23777,61630,0.4652,3054,0.0231,469,0.0035,727,0.0055,64720,0.4885,24255,0.1831,30669,0.2315,305,0.0023,337,0.0025,6648,0.0502,4081,0.0308,20893,0.1577,5440,0.0411
Hinkler,(Qld),48.31,LP/NP,120045,33.8,1.5289,57456,6923,0.0577,16953,0.1412,13252,0.1104,59498,0.4956,23440,0.1953,42,1.54,3.1,82789,0.6896,23279,0.1939,252,0.0021,21942,0.1828,3332,0.0278,15589,0.1299,1838,0.0153,5391,0.0449,6747,0.0562,311,0.0026,3739,0.0311,9844,0.082,16010,0.1334,4031,0.0336,10818,0.0901,24212,0.2017,12407,0.1034,2489,0.0207,823,10387,0.0865,17917,0.1493,4626,0.0385,4092,0.0341,51230,0.4268,6916,0.0576,24075,0.2005,13652,0.1137,45432,12842,18232,12295,1005,175,3011,3640,0.0303,20662,43401,0.3615,3976,0.0331,707,0.0059,1239,0.0103,47276,0.3938,19024,0.1585,22297,0.1857,2610,0.0217,315,0.0026,3478,0.029,3621,0.0302,10984,0.0915,387,0.0032
Holt,(Vic.),61.63,ALP,161304,1140.8,3.0572,62245,12976,0.0804,26804,0.1662,23645,0.1466,86430,0.5358,11446,0.071,32,2.15,9.62,95269,0.5906,46831,0.2903,6917,0.0429,31151,0.1931,973,0.006,54066,0.3352,8524,0.0528,41098,0.2548,7816,0.0485,5441,0.0337,45043,0.2792,19777,0.1226,11682,0.0724,5329,0.033,8162,0.0506,38534,0.2389,8479,0.0526,5647,0.035,1141,22385,0.1388,29099,0.1804,8611,0.0534,7275,0.0451,42419,0.263,10643,0.066,32934,0.2042,22232,0.1378,51478,9893,11512,28328,1278,191,2184,751,0.0047,31790,74557,0.4622,4673,0.029,896,0.0056,999,0.0062,79187,0.4909,25170,0.156,35030,0.2172,400,0.0025,104,0.0006,16325,0.1012,3363,0.0208,14519,0.09,3448,0.0214
Hotham,(Vic.),63,ALP,127070,1785.4,3.2517,37136,7789,0.0613,14585,0.1148,16183,0.1274,67549,0.5316,20978,0.1651,38,1.93,3.99,74390,0.5854,34424,0.2709,2248,0.0177,20115,0.1583,212,0.0017,47911,0.377,8165,0.0643,40433,0.3182,4454,0.0351,9710,0.0764,48293,0.3801,12712,0.1,11465,0.0902,3195,0.0251,10944,0.0861,26029,0.2048,7973,0.0627,6364,0.0501,1160,16826,0.1324,16682,0.1313,6824,0.0537,8203,0.0646,30216,0.2378,18633,0.1466,27540,0.2167,19595,0.1542,45892,10908,18314,14858,1386,201,7735,1890,0.0149,22850,57437,0.452,3440,0.0271,414,0.0033,980,0.0077,60872,0.479,21703,0.1708,27894,0.2195,188,0.0015,49,0.0004,9071,0.0714,3155,0.0248,18193,0.1432,5976,0.047
Hughes,(NSW),47.84,LP/NP,135239,583.9,2.7663,38222,9562,0.0707,20040,0.1482,19872,0.1469,72882,0.5389,12898,0.0954,35,2.18,7.19,102060,0.7547,43504,0.3217,3502,0.0259,13882,0.1026,1005,0.0074,30002,0.2218,3812,0.0282,21756,0.1609,5152,0.0381,3397,0.0251,27601,0.2041,16503,0.122,10603,0.0784,3252,0.024,7231,0.0535,32804,0.2426,5436,0.0402,11006,0.0814,1531,17986,0.133,23532,0.174,8339,0.0617,7920,0.0586,43813,0.324,14992,0.1109,31010,0.2293,22425,0.1658,44234,9482,15394,18299,1821,227,4783,2391,0.0177,26300,68791,0.5087,2797,0.0207,545,0.004,679,0.005,71579,0.5293,26819,0.1983,32999,0.244,105,0.0008,56,0.0004,7573,0.056,3507,0.0259,21717,0.1606,6802,0.0503
Hume,(NSW),45.84,LP/NP,132150,3.9,0.5911,45082,8600,0.0651,20134,0.1524,15397,0.1165,68906,0.5214,19070,0.1443,39,1.76,4.42,103156,0.7806,41101,0.311,407,0.0031,15938,0.1206,3237,0.0245,11956,0.0905,826,0.0063,4915,0.0372,5321,0.0403,365,0.0028,4057,0.0307,13373,0.1012,14416,0.1091,3416,0.0258,11283,0.0854,30553,0.2312,8953,0.0677,5605,0.0424,1100,14799,0.112,22306,0.1688,7139,0.054,5346,0.0405,55264,0.4182,10476,0.0793,27032,0.2046,13749,0.104,47714,10317,18949,16837,1287,146,1433,4661,0.0353,27474,59033,0.4467,3057,0.0231,635,0.0048,896,0.0068,62199,0.4707,26937,0.2038,28194,0.2133,6355,0.0481,550,0.0042,5533,0.0419,3646,0.0276,19180,0.1451,722,0.0055
Hunter,(NSW),65.92,ALP,128684,6.4,0.8062,46606,9205,0.0715,19751,0.1535,16616,0.1291,66778,0.5189,16316,0.1268,36,1.84,5.11,99228,0.7711,33541,0.2606,194,0.0015,15774,0.1226,4179,0.0325,8483,0.0659,1023,0.0079,3212,0.025,3465,0.0269,236,0.0018,2395,0.0186,12830,0.0997,12754,0.0991,4118,0.032,10364,0.0805,31544,0.2451,8937,0.0694,6108,0.0475,1126,12904,0.1003,21434,0.1666,5751,0.0447,5146,0.04,58477,0.4544,7117,0.0553,24760,0.1924,13402,0.1041,45754,11700,16487,15904,1270,161,2056,4064,0.0316,24830,55046,0.4278,3783,0.0294,793,0.0062,792,0.0062,58907,0.4578,21629,0.1681,25649,0.1993,3127,0.0243,5790,0.045,5987,0.0465,4112,0.032,12732,0.0989,410,0.0032
Indi,(Vic.),40.81,LP,123917,4.4,0.6435,44566,7219,0.0583,17669,0.1426,14717,0.1188,64432,0.52,19844,0.1601,41,1.77,3.99,83344,0.6726,32780,0.2645,248,0.002,25596,0.2066,1113,0.009,11298,0.0912,860,0.0069,5870,0.0474,3981,0.0321,462,0.0037,4845,0.0391,11692,0.0944,14249,0.115,3629,0.0293,12275,0.0991,27348,0.2207,8648,0.0698,3684,0.0297,1054,13437,0.1084,20417,0.1648,6045,0.0488,5076,0.041,41778,0.3371,10517,0.0849,25306,0.2042,12960,0.1046,46782,11282,18385,15408,1020,147,2701,10097,0.0815,26861,57636,0.4651,2803,0.0226,536,0.0043,887,0.0072,60601,0.489,27002,0.2179,27850,0.2247,5292,0.0427,91,0.0007,7688,0.062,4352,0.0351,18416,0.1486,348,0.0028
Isaacs,(Vic.),57.69,ALP,141322,824.8,2.9163,47877,9580,0.0678,18889,0.1337,17535,0.1241,76850,0.5438,18478,0.1308,37,2.01,5.11,81874,0.5793,39382,0.2787,5126,0.0363,26636,0.1885,456,0.0032,42823,0.303,5811,0.0411,31276,0.2213,7903,0.0559,6608,0.0468,36028,0.2549,14838,0.105,12448,0.0881,4122,0.0292,13240,0.0937,30989,0.2193,7809,0.0553,6521,0.0461,1168,18358,0.1299,20750,0.1468,7232,0.0512,6716,0.0475,36182,0.256,14655,0.1037,30442,0.2154,20795,0.1471,51025,11614,17020,20424,1327,187,6825,1803,0.0128,26190,65081,0.4605,3725,0.0264,549,0.0039,1049,0.0074,68813,0.4869,24816,0.1756,31492,0.2228,378,0.0027,73,0.0005,12499,0.0884,3073,0.0217,18185,0.1287,5096,0.0361
Jagajaga,(Vic.),58.98,ALP,127975,1408.3,3.1487,36271,7697,0.0601,16009,0.1251,17617,0.1377,68514,0.5354,18150,0.1418,38,2.06,4.75,79427,0.6206,38552,0.3012,1736,0.0136,29539,0.2308,506,0.004,23944,0.1871,3056,0.0239,15998,0.125,5687,0.0444,1796,0.014,18660,0.1458,13904,0.1086,11666,0.0912,3166,0.0247,10522,0.0822,29031,0.2268,5540,0.0433,9629,0.0752,1453,16992,0.1328,19416,0.1517,7520,0.0588,8852,0.0692,28145,0.2199,24551,0.1918,30883,0.2413,22038,0.1722,46160,9544,18322,16733,1387,206,3697,2900,0.0227,26275,63593,0.4969,2690,0.021,604,0.0047,734,0.0057,66328,0.5183,26856,0.2099,31536,0.2464,140,0.0011,96,0.0008,6039,0.0472,3038,0.0237,25844,0.2019,5921,0.0463
