2010 Federal Election House of Representatives First Preferences By Candidate By Polling Place for TAS [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:24 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
TAS,192,Bass,8288,Newnham,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,276,2.61
TAS,192,Bass,8288,Newnham,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,37,1.19
TAS,192,Bass,8288,Newnham,999,Informal,Informal,999,N,N,,Informal,128,0.77
TAS,192,Bass,8326,Newstead,21024,TITMUS,Steve,1,N,N,LP,Liberal,807,-5.78
TAS,192,Bass,8326,Newstead,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,694,6.45
TAS,192,Bass,8326,Newstead,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,336,1.03
TAS,192,Bass,8326,Newstead,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,16,0.76
TAS,192,Bass,8326,Newstead,999,Informal,Informal,999,N,N,,Informal,59,0.83
TAS,192,Bass,8328,Norwood,21024,TITMUS,Steve,1,N,N,LP,Liberal,1175,-7.12
TAS,192,Bass,8328,Norwood,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,964,8.96
TAS,192,Bass,8328,Norwood,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,277,0.54
TAS,192,Bass,8328,Norwood,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,13,0.38
TAS,192,Bass,8328,Norwood,999,Informal,Informal,999,N,N,,Informal,81,1.13
TAS,192,Bass,8329,Nunamara,21024,TITMUS,Steve,1,N,N,LP,Liberal,76,-6.35
TAS,192,Bass,8329,Nunamara,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,95,9.82
TAS,192,Bass,8329,Nunamara,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,52,-0.47
TAS,192,Bass,8329,Nunamara,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,4,1.33
TAS,192,Bass,8329,Nunamara,999,Informal,Informal,999,N,N,,Informal,13,-1.06
TAS,192,Bass,8332,Pipers River,21024,TITMUS,Steve,1,N,N,LP,Liberal,116,4.08
TAS,192,Bass,8332,Pipers River,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,78,2.85
TAS,192,Bass,8332,Pipers River,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,43,-1.55
TAS,192,Bass,8332,Pipers River,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,3,0.37
TAS,192,Bass,8332,Pipers River,999,Informal,Informal,999,N,N,,Informal,14,4.2
TAS,192,Bass,8333,Prospect,21024,TITMUS,Steve,1,N,N,LP,Liberal,856,-6.71
TAS,192,Bass,8333,Prospect,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,911,7.96
TAS,192,Bass,8333,Prospect,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,191,0.25
TAS,192,Bass,8333,Prospect,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,16,0.76
TAS,192,Bass,8333,Prospect,999,Informal,Informal,999,N,N,,Informal,78,1.41
TAS,192,Bass,11665,Prospect Vale,21024,TITMUS,Steve,1,N,N,LP,Liberal,560,-8.96
TAS,192,Bass,11665,Prospect Vale,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,481,8.11
TAS,192,Bass,11665,Prospect Vale,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,100,2.14
TAS,192,Bass,11665,Prospect Vale,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,7,0.44
TAS,192,Bass,11665,Prospect Vale,999,Informal,Informal,999,N,N,,Informal,38,0.59
TAS,192,Bass,8334,Ravenswood,21024,TITMUS,Steve,1,N,N,LP,Liberal,540,-0.03
TAS,192,Bass,8334,Ravenswood,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,1091,2.26
TAS,192,Bass,8334,Ravenswood,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,213,3.2
TAS,192,Bass,8334,Ravenswood,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,24,0.58
TAS,192,Bass,8334,Ravenswood,999,Informal,Informal,999,N,N,,Informal,173,2.23
TAS,192,Bass,8335,Ringarooma,21024,TITMUS,Steve,1,N,N,LP,Liberal,171,-1.25
TAS,192,Bass,8335,Ringarooma,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,136,3.91
TAS,192,Bass,8335,Ringarooma,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,30,-1.69
TAS,192,Bass,8335,Ringarooma,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,7,2.03
